study,vowel,v_duration,sd,c2_place,voice,manner,n_syl,target_syl,syl_pos,word_pos,year,study_ref,study_ref_2,n_speakers
housefairbanks1953,i,138,,mean,voiceless,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɛ,171,,mean,voiceless,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,æ,184,,mean,voiceless,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɑ,180,,mean,voiceless,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,o,157,,mean,voiceless,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,u,138,,mean,voiceless,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,i,215,,mean,voiced,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɛ,251,,mean,voiced,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,æ,276,,mean,voiced,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɑ,267,,mean,voiced,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɔ,244,,mean,voiced,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,u,215,,mean,voiced,stop,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,i,177,,mean,voiceless,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɛ,199,,mean,voiceless,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,æ,215,,mean,voiceless,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɑ,218,,mean,voiceless,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,o,187,,mean,voiceless,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,u,161,,mean,voiceless,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,i,277,,mean,voiced,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɛ,283,,mean,voiced,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,æ,304,,mean,voiced,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɑ,295,,mean,voiced,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɔ,293,,mean,voiced,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,u,261,,mean,voiced,fricative,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,i,209,,mean,voiced,nasals,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɛ,238,,mean,voiced,nasals,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,æ,253,,mean,voiced,nasals,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,ɑ,235,,mean,voiced,nasals,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,o,241,,mean,voiced,nasals,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
housefairbanks1953,u,217,,mean,voiced,nasals,di,2,final,isolation,1953,House & Fairbanks (1953),House & Fairbanks (1953),10
