filename	phoneme	duration	item	height	voice	position	speed	subj
tack_f	T	45.338	tack	low	-voice	final	fast	F1
tack_f	AE1	150.627	tack	low	-voice	final	fast	F1
tack_f	K	88.059	tack	low	-voice	final	fast	F1
tack_f1	T	47.490	tack	low	-voice	final	fast	F1
tack_f1	AE1	148.429	tack	low	-voice	final	fast	F1
tack_f1	K	110.553	tack	low	-voice	final	fast	F1
tack_f2	T	50.242	tack	low	-voice	final	fast	F1
tack_f2	AE1	160.074	tack	low	-voice	final	fast	F1
tack_f3	T	48.367	tack	low	-voice	final	fast	F1
tack_f3	AE1	143.966	tack	low	-voice	final	fast	F1
tack_i	T	66.822	tack	low	-voice	initial	fast	F1
tack_i	AE1	94.823	tack	low	-voice	initial	fast	F1
tack_i	K	56.985	tack	low	-voice	initial	fast	F1
tack_i1	T	52.366	tack	low	-voice	initial	fast	F1
tack_i1	AE1	113.289	tack	low	-voice	initial	fast	F1
tack_i1	K	61.191	tack	low	-voice	initial	fast	F1
tack_i2	T	58.581	tack	low	-voice	initial	fast	F1
tack_i2	AE1	111.326	tack	low	-voice	initial	fast	F1
tack_i2	K	50.298	tack	low	-voice	initial	fast	F1
tack_i3	T	53.328	tack	low	-voice	initial	fast	F1
tack_i3	AE1	99.231	tack	low	-voice	initial	fast	F1
tack_i3	K	49.490	tack	low	-voice	initial	fast	F1
tack_m	T	42.825	tack	low	-voice	mid	fast	F1
tack_m	AE1	81.807	tack	low	-voice	mid	fast	F1
tack_m	K	74.670	tack	low	-voice	mid	fast	F1
tack_m1	T	43.020	tack	low	-voice	mid	fast	F1
tack_m1	AE1	104.951	tack	low	-voice	mid	fast	F1
tack_m1	K	43.157	tack	low	-voice	mid	fast	F1
tack_m2	T	33.261	tack	low	-voice	mid	fast	F1
tack_m2	AE1	100.985	tack	low	-voice	mid	fast	F1
tack_m2	K	59.309	tack	low	-voice	mid	fast	F1
tack_m3	T	51.581	tack	low	-voice	mid	fast	F1
tack_m3	AE1	79.849	tack	low	-voice	mid	fast	F1
tack_m3	K	59.389	tack	low	-voice	mid	fast	F1
tag_f	T	44.348	tag	low	+voice	final	fast	F1
tag_f	AE1	244.153	tag	low	+voice	final	fast	F1
tag_f	G	26.811	tag	low	+voice	final	fast	F1
tag_f1	T	57.754	tag	low	+voice	final	fast	F1
tag_f1	AE1	251.667	tag	low	+voice	final	fast	F1
tag_f2	T	53.440	tag	low	+voice	final	fast	F1
tag_f2	AE1	246.778	tag	low	+voice	final	fast	F1
tag_f3	T	42.983	tag	low	+voice	final	fast	F1
tag_f3	AE1	271.082	tag	low	+voice	final	fast	F1
tag_i	T	55.477	tag	low	+voice	initial	fast	F1
tag_i	AE1	121.435	tag	low	+voice	initial	fast	F1
tag_i	G	40.674	tag	low	+voice	initial	fast	F1
tag_i1	T	64.886	tag	low	+voice	initial	fast	F1
tag_i1	AE1	138.979	tag	low	+voice	initial	fast	F1
tag_i1	G	33.320	tag	low	+voice	initial	fast	F1
tag_i2	T	40.962	tag	low	+voice	initial	fast	F1
tag_i2	AE1	132.818	tag	low	+voice	initial	fast	F1
tag_i2	G	52.784	tag	low	+voice	initial	fast	F1
tag_i3	T	44.666	tag	low	+voice	initial	fast	F1
tag_i3	AE1	152.946	tag	low	+voice	initial	fast	F1
tag_i3	G	48.275	tag	low	+voice	initial	fast	F1
tag_m	T	40.756	tag	low	+voice	mid	fast	F1
tag_m	AE1	112.257	tag	low	+voice	mid	fast	F1
tag_m	G	48.621	tag	low	+voice	mid	fast	F1
tag_m1	T	33.599	tag	low	+voice	mid	fast	F1
