study,vowel,v_duration,sd,c2_place,voice,n_syl,target_syl,syl_pos,word_pos,year,study_ref
heffner1937,ɪ,150,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ʌ,170,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɛ,180,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,æ,210,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,i,210,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,u,230,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɔ,220,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɑ,180,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ʊ,150,,mean,voiceless,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɪ,200,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ʌ,200,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɛ,220,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,æ,310,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,i,280,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,u,290,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɔ,320,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ɑ,260,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
heffner1937,ʊ,200,,mean,voiced,mono,1,final,isolation,1937,Heffner (1937)
housefairbanks1953,i,138,,mean,voiceless,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,ɛ,171,,mean,voiceless,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,æ,184,,mean,voiceless,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,ɑ,180,,mean,voiceless,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,o,157,,mean,voiceless,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,u,138,,mean,voiceless,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,i,215,,mean,voiced,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,ɛ,251,,mean,voiced,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,æ,276,,mean,voiced,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,ɑ,267,,mean,voiced,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,ɔ,244,,mean,voiced,di,2,final,isolation,1953,House & Fairbanks (1953)
housefairbanks1953,u,215,,mean,voiced,di,2,final,isolation,1953,House & Fairbanks (1953)
petersonlehiste1960,i,148,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɪ,126,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɛ,175,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,æ,242,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɑ,218,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɔ,222,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ʊ,130,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,u,160,,mean,voiceless,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,i,220,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɪ,214,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɛ,288,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,æ,362,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɑ,330,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ɔ,327,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,ʊ,,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
petersonlehiste1960,u,,,mean,voiced,mono,1,final,medial,1960,Peterson & Lehiste (1960)
sharf1962_mono,mean,196,,coronal,voiceless,mono,1,final,isolation,1962,Sharf (1962) monosyllabic
sharf1962_mono,mean,287,,coronal,voiced,mono,1,final,isolation,1962,Sharf (1962) monosyllabic
sharf1962_mono,mean,164,,labial,voiceless,mono,1,final,isolation,1962,Sharf (1962) monosyllabic
sharf1962_mono,mean,242,,labial,voiced,mono,1,final,isolation,1962,Sharf (1962) monosyllabic
sharf1962_mono,mean,174,,velar,voiceless,mono,1,final,isolation,1962,Sharf (1962) monosyllabic
sharf1962_mono,mean,184,,velar,voiced,mono,1,final,isolation,1962,Sharf (1962) monosyllabic
sharf1962_di,mean,147,,coronal,voiceless,di,1,non-final,isolation,1962,Sharf (1962) disyllabic
sharf1962_di,mean,156,,coronal,voiced,di,1,non-final,isolation,1962,Sharf (1962) disyllabic
sharf1962_di,mean,117,,labial,voiceless,di,1,non-final,isolation,1962,Sharf (1962) disyllabic
sharf1962_di,mean,152,,labial,voiced,di,1,non-final,isolation,1962,Sharf (1962) disyllabic
sharf1962_di,mean,117,,velar,voiceless,di,1,non-final,isolation,1962,Sharf (1962) disyllabic
sharf1962_di,mean,148,,velar,voiced,di,1,non-final,isolation,1962,Sharf (1962) disyllabic
chen1970,æ,155,,labial,voiceless,mono,1,final,isolation,1970,Chen (1970)
chen1970,æ,170,,coronal,voiceless,mono,1,final,isolation,1970,Chen (1970)
chen1970,æ,158,,velar,voiceless,mono,1,final,isolation,1970,Chen (1970)
chen1970,æ,300,,labial,voiced,mono,1,final,isolation,1970,Chen (1970)
chen1970,æ,308,,coronal,voiced,mono,1,final,isolation,1970,Chen (1970)
chen1970,æ,357,,velar,voiced,mono,1,final,isolation,1970,Chen (1970)
klatt1973_mono,mean,132,,mean,voiceless,mono,1,final,medial,1973,Klatt (1973) monosyllabic
klatt1973_mono,mean,198,,mean,voiced,mono,1,final,medial,1973,Klatt (1973) monosyllabic
klatt1973_di,mean,103,,mean,voiceless,di,1,non-final,medial,1973,Klatt (1973) disyllabic
klatt1973_di,mean,131,,mean,voiced,di,1,non-final,medial,1973,Klatt (1973) disyllabic
davis1989,mean,110,7.7,labial,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,98,9.9,labial,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,124,12.5,labial,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,109,5,labial,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,151,9.2,labial,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,134,7.9,labial,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,139,25,coronal,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,130,21.6,coronal,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,169,15.8,coronal,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,126,11.1,coronal,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,174,12,coronal,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,144,8.7,coronal,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,132,11.8,velar,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,113,9.5,velar,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,167,20.1,velar,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,144,11.8,velar,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,164,7.8,velar,voiced,di,1,non-final,medial,1989,Davis & Van Summers (1989)
davis1989,mean,141,5.4,velar,voiceless,di,1,non-final,medial,1989,Davis & Van Summers (1989)
laeufer1992,ɒ,316.5,,velar,voiced,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ɒ,302.73,,velar,voiceless,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ɛ,230.47,,velar,voiced,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ɛ,146.93,,velar,voiceless,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ɔ,338.29,,coronal,voiced,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ɔ,212.58,,coronal,voiceless,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ʌ,348,,coronal,voiced,mono,1,final,final,1992,Laeufer (1992)
laeufer1992,ʌ,219.33,,coronal,voiceless,mono,1,final,final,1992,Laeufer (1992)
hussein1994,mean,149.2,,mean,voiceless,mono,1,final,medial,1994,Hussein (1994)
hussein1994,mean,185.2,,mean,voiced,mono,1,final,medial,1994,Hussein (1994)
ko2018,mean,92.06,36.67,mean,voiceless,mono,1,final,mean,2018,Ko (2018)
ko2018,mean,116.78,52.53,mean,voiced,mono,1,final,mean,2018,Ko (2018)
ko2018,mean,105.65,36.76,mean,voiceless,mono,1,final,mean,2018,Ko (2018)
ko2018,mean,138.6,54.96,mean,voiced,mono,1,final,mean,2018,Ko (2018)
ko2018,mean,123.98,40.72,mean,voiceless,mono,1,final,mean,2018,Ko (2018)
ko2018,mean,206.67,63,mean,voiced,mono,1,final,mean,2018,Ko (2018)
