sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
You'll say 'teegus' this Monday,They'll say '{word}' this Tuesday,teegus,0,0,0,43,space,2.30392789841,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teek' this Sunday,You'll say '{word}' this Monday,teek,0,1,1,54,space,2.07031416893,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,0,2,2,102,space,2.05071902275,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tergus' this Thursday,You'll say '{word}' this Monday,tergus,0,3,3,21,space,2.22130084038,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'targus' this Monday,We'll say '{word}' this Friday,targus,0,4,4,47,space,2.26840305328,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teepus' this Thursday,She'll say '{word}' this Sunday,teepus,0,5,5,12,space,2.10399794579,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terb' this Sunday,We'll say '{word}' this Friday,terb,0,6,6,51,space,1.98678612709,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tarp' this Monday,They'll say '{word}' this Tuesday,tarp,0,7,7,28,space,1.8847899437,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teegus' this Thursday,They'll say '{word}' this Tuesday,teegus,0,8,8,19,space,1.88686704636,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terpus' this Tuesday,They'll say '{word}' this Tuesday,terpus,0,9,9,110,space,2.03680920601,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terbus' this Tuesday,I'll say '{word}' this Thursday,terbus,0,10,10,111,space,1.92027497292,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teeb' this Monday,You'll say '{word}' this Monday,teeb,0,11,11,25,space,1.78714799881,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teeb' this Sunday,You'll say '{word}' this Monday,teeb,0,12,12,49,space,1.83700704575,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teeb' this Thursday,You'll say '{word}' this Monday,teeb,0,13,13,1,space,1.73675203323,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teegus' this Tuesday,They'll say '{word}' this Tuesday,teegus,0,14,14,115,space,5.60537600517,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terk' this Tuesday,We'll say '{word}' this Friday,terk,0,15,15,104,space,2.10280704498,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terbus' this Thursday,I'll say '{word}' this Thursday,terbus,0,16,16,15,space,2.15131497383,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,17,17,89,space,1.97020888329,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terb' this Thursday,We'll say '{word}' this Friday,terb,0,18,18,3,space,1.85363888741,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teebus' this Thursday,We'll say '{word}' this Friday,teebus,0,19,19,13,space,1.93660306931,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terk' this Thursday,We'll say '{word}' this Friday,terk,0,20,20,8,space,1.88730382919,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teeg' this Thursday,She'll say '{word}' this Sunday,teeg,0,21,21,7,space,1.83688902855,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tark' this Monday,I'll say '{word}' this Thursday,tark,0,22,22,34,space,1.75286889076,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tarb' this Sunday,I'll say '{word}' this Thursday,tarb,0,23,23,53,space,1.68454194069,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus,0,24,24,60,space,1.76758503914,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teep' this Thursday,I'll say '{word}' this Thursday,teep,0,25,25,0,space,1.85381603241,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terbus' this Sunday,I'll say '{word}' this Thursday,terbus,0,26,26,63,space,1.80414700508,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tarbus' this Thursday,She'll say '{word}' this Sunday,tarbus,0,27,27,17,space,1.82039093971,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teebus' this Monday,We'll say '{word}' this Friday,teebus,0,28,28,37,space,1.68616008759,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tarp' this Thursday,They'll say '{word}' this Tuesday,tarp,0,29,29,4,space,1.653621912,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tergus' this Tuesday,You'll say '{word}' this Monday,tergus,0,30,30,117,space,1.80364608765,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tark' this Tuesday,I'll say '{word}' this Thursday,tark,0,31,31,106,space,1.95399904251,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg,0,32,32,103,space,1.70315814018,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terg' this Thursday,They'll say '{word}' this Tuesday,terg,0,33,33,9,space,1.75433897972,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus,0,34,34,42,space,1.6370010376,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tarb' this Friday,I'll say '{word}' this Thursday,tarb,0,35,35,77,space,4.38632488251,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarb' this Tuesday,I'll say '{word}' this Thursday,tarb,0,36,36,101,space,1.80283308029,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teebus' this Sunday,We'll say '{word}' this Friday,teebus,0,37,37,61,space,1.68687796593,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarp' this Tuesday,They'll say '{word}' this Tuesday,tarp,0,38,38,100,space,1.86781001091,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terkus' this Thursday,I'll say '{word}' this Thursday,terkus,0,39,39,20,space,1.95364499092,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teeg' this Sunday,She'll say '{word}' this Sunday,teeg,0,40,40,55,space,1.58569097519,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terpus' this Thursday,They'll say '{word}' this Tuesday,terpus,0,41,41,14,space,1.75352191925,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terpus' this Monday,They'll say '{word}' this Tuesday,terpus,0,42,42,38,space,1.837059021,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,0,43,43,108,space,1.88737678528,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'terp' this Thursday,She'll say '{word}' this Sunday,terp,0,44,44,2,space,1.83640217781,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus,0,45,45,119,space,1.8035390377,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teebus' this Friday,We'll say '{word}' this Friday,teebus,0,46,46,85,space,1.56979990005,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark,0,47,47,82,space,1.78702402115,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus,0,48,48,71,space,2.92087006569,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tarkus' this Thursday,She'll say '{word}' this Sunday,tarkus,0,49,49,22,space,1.68658804893,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tergus' this Monday,You'll say '{word}' this Monday,tergus,0,50,50,45,space,1.60385990143,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terp' this Friday,She'll say '{word}' this Sunday,terp,0,51,51,74,space,1.6699450016,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terpus' this Sunday,They'll say '{word}' this Tuesday,terpus,0,52,52,62,space,1.7871119976,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarpus' this Tuesday,You'll say '{word}' this Monday,tarpus,0,53,53,112,space,1.53623104095,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teek' this Friday,You'll say '{word}' this Monday,teek,0,54,54,78,space,1.53710412979,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teep' this Tuesday,I'll say '{word}' this Thursday,teep,0,55,55,96,space,2.12088108063,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teeg' this Friday,She'll say '{word}' this Sunday,teeg,0,56,56,79,space,1.56987810135,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tarb' this Thursday,I'll say '{word}' this Thursday,tarb,0,57,57,5,space,1.82029509544,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tarbus' this Sunday,She'll say '{word}' this Sunday,tarbus,0,58,58,65,space,1.83706879616,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'tergus' this Friday,You'll say '{word}' this Monday,tergus,0,59,59,93,space,1.85128498077,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'teekus' this Thursday,We'll say '{word}' this Friday,teekus,0,60,60,18,space,2.43743395805,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tarpus' this Thursday,You'll say '{word}' this Monday,tarpus,0,61,61,16,space,4.92200517654,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teeb' this Friday,You'll say '{word}' this Monday,teeb,0,62,62,73,space,2.07004284859,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tergus' this Sunday,You'll say '{word}' this Monday,tergus,0,63,63,69,space,1.70384192467,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terg' this Monday,They'll say '{word}' this Tuesday,terg,0,64,64,33,space,1.78713822365,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus,0,65,65,95,space,1.92034292221,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teegus' this Sunday,They'll say '{word}' this Tuesday,teegus,0,66,66,67,space,1.88723611832,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teeb' this Tuesday,You'll say '{word}' this Monday,teeb,0,67,67,97,space,1.91987586021,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tarkus' this Sunday,She'll say '{word}' this Sunday,tarkus,0,68,68,70,space,1.97012805939,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terg' this Sunday,They'll say '{word}' this Tuesday,terg,0,69,69,57,space,1.80389285088,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terb' this Monday,We'll say '{word}' this Friday,terb,0,70,70,27,space,1.6550090313,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,0,71,71,87,space,2.02043414116,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terb' this Friday,We'll say '{word}' this Friday,terb,0,72,72,75,space,3.55226111412,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tarkus' this Monday,She'll say '{word}' this Sunday,tarkus,0,73,73,46,space,3.97077608109,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teegus' this Friday,They'll say '{word}' this Tuesday,teegus,0,74,74,91,space,2.05353093147,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teek' this Monday,You'll say '{word}' this Monday,teek,0,75,75,30,space,1.53644394875,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'tark' this Thursday,I'll say '{word}' this Thursday,tark,0,76,76,10,space,4.93730115891,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus,0,77,77,64,space,1.98743605614,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep,0,78,78,48,space,4.66972303391,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terkus' this Sunday,I'll say '{word}' this Thursday,terkus,0,79,79,68,space,1.9196190834,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'terkus' this Tuesday,I'll say '{word}' this Thursday,terkus,0,80,80,116,space,2.33500790596,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus,0,81,81,109,space,1.95334100723,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,0,82,82,66,space,2.18719291687,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'tarbus' this Monday,She'll say '{word}' this Sunday,tarbus,0,83,83,41,space,1.82049298286,2019_Feb_20_1134,60.07086530722144,english,en002,
I'll say 'targ' this Thursday,You'll say '{word}' this Monday,targ,0,84,84,11,space,1.95324993134,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'targ' this Monday,You'll say '{word}' this Monday,targ,0,85,85,35,space,1.97018909454,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terk' this Sunday,We'll say '{word}' this Friday,terk,0,86,86,56,space,1.97058200836,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ,0,87,87,83,space,1.95299005508,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus,0,88,88,36,space,1.75389790535,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,0,89,89,81,space,1.80368995667,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,0,90,90,118,space,1.87027001381,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terk' this Monday,We'll say '{word}' this Friday,terk,0,91,91,32,space,1.78708195686,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg,0,92,92,31,space,1.63705587387,2019_Feb_20_1134,60.07086530722144,english,en002,
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus,0,93,93,90,space,1.98728990555,2019_Feb_20_1134,60.07086530722144,english,en002,
They'll say 'tarbus' this Tuesday,She'll say '{word}' this Sunday,tarbus,0,94,94,113,space,1.92043685913,2019_Feb_20_1134,60.07086530722144,english,en002,
She'll say 'terp' this Sunday,She'll say '{word}' this Sunday,terp,0,95,95,50,space,1.85277199745,2019_Feb_20_1134,60.07086530722144,english,en002,
You'll say 'terp' this Monday,She'll say '{word}' this Sunday,terp,0,96,96,26,space,1.78645706177,2019_Feb_20_1134,60.07086530722144,english,en002,
