sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,date,expName,psychopyVersion,frameRate,
We'll say 'terpus' this Friday,They'll say '{word}' this Tuesday,terpus,0,0,0,86,space,1.9423154860000977,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terp' this Thursday,She'll say '{word}' this Sunday,terp,0,1,1,2,space,1.5748090100000809,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,0,2,2,66,space,1.7416253270002926,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,3,3,52,space,1.84222439999985,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,0,4,4,102,space,4.211805439000273,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teegus' this Thursday,They'll say '{word}' this Tuesday,teegus,0,5,5,19,space,11.133093996000298,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teeg' this Friday,She'll say '{word}' this Sunday,teeg,0,6,6,79,space,1.5744945110000117,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teeb' this Friday,You'll say '{word}' this Monday,teeb,0,7,7,73,space,1.7916168570000082,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terg' this Sunday,They'll say '{word}' this Tuesday,terg,0,8,8,57,space,1.7077730629998769,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terb' this Tuesday,We'll say '{word}' this Friday,terb,0,9,9,99,space,1.6575986009997905,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terpus' this Tuesday,They'll say '{word}' this Tuesday,terpus,0,10,10,110,space,1.7577633800001422,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tarkus' this Thursday,She'll say '{word}' this Sunday,tarkus,0,11,11,22,space,1.6420586039998852,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'terkus' this Friday,I'll say '{word}' this Thursday,terkus,0,12,12,92,space,1.657808402000228,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tergus' this Friday,You'll say '{word}' this Monday,tergus,0,13,13,93,space,1.742022738000287,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teepus' this Friday,She'll say '{word}' this Sunday,teepus,0,14,14,84,space,1.508698712000296,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terbus' this Thursday,I'll say '{word}' this Thursday,terbus,0,15,15,15,space,1.6415858129998924,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teebus' this Thursday,We'll say '{word}' this Friday,teebus,0,16,16,13,space,1.6911530550000862,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep,0,17,17,48,space,1.6750151189999087,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tarbus' this Thursday,She'll say '{word}' this Sunday,tarbus,0,18,18,17,space,1.9756673709998722,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'targ' this Sunday,You'll say '{word}' this Monday,targ,0,19,19,59,space,1.7424197489999642,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tarb' this Sunday,I'll say '{word}' this Thursday,tarb,0,20,20,53,space,1.7585814320000281,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tarkus' this Monday,She'll say '{word}' this Sunday,tarkus,0,21,21,46,space,1.8754918919999,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terb' this Monday,We'll say '{word}' this Friday,terb,0,22,22,27,space,1.7753937400002542,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tarb' this Monday,I'll say '{word}' this Thursday,tarb,0,23,23,29,space,1.757739564000076,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark,0,24,24,82,space,1.7219301350000933,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tarp' this Tuesday,They'll say '{word}' this Tuesday,tarp,0,25,25,100,space,1.6080750309997711,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teebus' this Monday,We'll say '{word}' this Friday,teebus,0,26,26,37,space,2.276523940000061,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus,0,27,27,36,space,1.4411539180000545,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terg' this Tuesday,They'll say '{word}' this Tuesday,terg,0,28,28,105,space,1.924776293999912,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,0,29,29,108,space,1.8722054730001219,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,0,30,30,76,space,1.8087702160000845,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'targ' this Monday,You'll say '{word}' this Monday,targ,0,31,31,35,space,1.5418417379996754,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terkus' this Thursday,I'll say '{word}' this Thursday,terkus,0,32,32,20,space,1.874723670000094,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terb' this Sunday,We'll say '{word}' this Friday,terb,0,33,33,51,space,1.692142024000077,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teek' this Sunday,You'll say '{word}' this Monday,teek,0,34,34,54,space,1.47468819300002,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'terk' this Friday,We'll say '{word}' this Friday,terk,0,35,35,80,space,1.3411528339997858,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'terpus' this Thursday,They'll say '{word}' this Tuesday,terpus,0,36,36,14,space,1.8925119750001613,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tark' this Thursday,I'll say '{word}' this Thursday,tark,0,37,37,10,space,1.5411698969996905,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,0,38,38,118,space,1.8255272750002405,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'targus' this Thursday,We'll say '{word}' this Friday,targus,0,39,39,23,space,1.6751892160000352,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus,0,40,40,119,space,4.532589948999885,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tarpus' this Friday,You'll say '{word}' this Monday,tarpus,0,41,41,88,space,1.9087065699995946,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tarb' this Tuesday,I'll say '{word}' this Thursday,tarb,0,42,42,101,space,1.758900163999897,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,43,43,89,space,1.7576679089997924,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terp' this Sunday,She'll say '{word}' this Sunday,terp,0,44,44,50,space,1.4408554299998286,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tarbus' this Monday,She'll say '{word}' this Sunday,tarbus,0,45,45,41,space,2.092805025999951,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terp' this Monday,She'll say '{word}' this Sunday,terp,0,46,46,26,space,1.875924884000142,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tarpus' this Monday,You'll say '{word}' this Monday,tarpus,0,47,47,40,space,1.842199920999974,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,0,48,48,81,space,1.6586767099997815,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teep' this Tuesday,I'll say '{word}' this Thursday,teep,0,49,49,96,space,1.6048347890000514,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terbus' this Tuesday,I'll say '{word}' this Thursday,terbus,0,50,50,111,space,1.7756148889998258,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tarpus' this Tuesday,You'll say '{word}' this Monday,tarpus,0,51,51,112,space,1.641388748999816,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teegus' this Monday,They'll say '{word}' this Tuesday,teegus,0,52,52,43,space,1.608428186999845,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teep' this Thursday,I'll say '{word}' this Thursday,teep,0,53,53,0,space,1.5075145060000068,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terbus' this Sunday,I'll say '{word}' this Thursday,terbus,0,54,54,63,space,1.8086493579999114,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teek' this Monday,You'll say '{word}' this Monday,teek,0,55,55,30,space,1.4405790799996794,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep,0,56,56,24,space,1.4915240790001008,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'tarp' this Monday,They'll say '{word}' this Tuesday,tarp,0,57,57,28,space,1.6913633489998574,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terp' this Tuesday,She'll say '{word}' this Sunday,terp,0,58,58,98,space,1.574536438999985,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teek' this Thursday,You'll say '{word}' this Monday,teek,0,59,59,6,space,1.6919308399997135,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tarbus' this Sunday,She'll say '{word}' this Sunday,tarbus,0,60,60,65,space,1.724560024999846,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus,0,61,61,64,space,1.5081990110002153,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus,0,62,62,109,space,1.5576920879998397,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teekus' this Tuesday,We'll say '{word}' this Friday,teekus,0,63,63,114,space,1.6583302720000574,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teebus' this Sunday,We'll say '{word}' this Friday,teebus,0,64,64,61,space,1.9223113099997136,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terkus' this Monday,I'll say '{word}' this Thursday,terkus,0,65,65,44,space,1.7919458010001108,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terpus' this Sunday,They'll say '{word}' this Tuesday,terpus,0,66,66,62,space,1.6249722329998804,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'terp' this Friday,She'll say '{word}' this Sunday,terp,0,67,67,74,space,1.6747397280000769,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'targ' this Thursday,You'll say '{word}' this Monday,targ,0,68,68,11,space,1.5584848029998284,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg,0,69,69,31,space,1.4239760880000176,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teegus' this Sunday,They'll say '{word}' this Tuesday,teegus,0,70,70,67,space,1.5248277059999964,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ,0,71,71,83,space,1.7551937289999842,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teebus' this Friday,We'll say '{word}' this Friday,teebus,0,72,72,85,space,1.6252292529998158,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tergus' this Thursday,You'll say '{word}' this Monday,tergus,0,73,73,21,space,1.8581839060002494,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tarp' this Thursday,They'll say '{word}' this Tuesday,tarp,0,74,74,4,space,1.441538423000111,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tarb' this Thursday,I'll say '{word}' this Thursday,tarb,0,75,75,5,space,1.5213417929999196,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark,0,76,76,58,space,1.6550595890003024,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teegus' this Friday,They'll say '{word}' this Tuesday,teegus,0,77,77,91,space,4.165067233999707,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tergus' this Tuesday,You'll say '{word}' this Monday,tergus,0,78,78,117,space,1.8086652360002518,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus,0,79,79,95,space,1.7719695000000684,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terpus' this Monday,They'll say '{word}' this Tuesday,terpus,0,80,80,38,space,1.4877347309998186,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teeb' this Monday,You'll say '{word}' this Monday,teeb,0,81,81,25,space,1.4415290130000358,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg,0,82,82,103,space,1.6084844830002112,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'targus' this Monday,We'll say '{word}' this Friday,targus,0,83,83,47,space,1.6215486410001176,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terk' this Monday,We'll say '{word}' this Friday,terk,0,84,84,32,space,1.6078895730001932,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teep' this Friday,I'll say '{word}' this Thursday,teep,0,85,85,72,space,1.4405705170001966,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teeg' this Thursday,She'll say '{word}' this Sunday,teeg,0,86,86,7,space,1.724734778000311,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'tarpus' this Thursday,You'll say '{word}' this Monday,tarpus,0,87,87,16,space,1.6586428730001899,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus,0,88,88,42,space,1.7721304960000452,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teeg' this Sunday,She'll say '{word}' this Sunday,teeg,0,89,89,55,space,3.5966741999995975,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teekus' this Thursday,We'll say '{word}' this Friday,teekus,0,90,90,18,space,1.5582330449997244,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'teeb' this Sunday,You'll say '{word}' this Monday,teeb,0,91,91,49,space,1.4411355709999043,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terkus' this Sunday,I'll say '{word}' this Thursday,terkus,0,92,92,68,space,1.7924898549999853,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus,0,93,93,90,space,1.6048694759997488,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tark' this Tuesday,I'll say '{word}' this Thursday,tark,0,94,94,106,space,1.4749576259996502,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'tarbus' this Tuesday,She'll say '{word}' this Sunday,tarbus,0,95,95,113,space,1.8419639599997026,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'terk' this Sunday,We'll say '{word}' this Friday,terk,0,96,96,56,space,3.947886303999894,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'terk' this Tuesday,We'll say '{word}' this Friday,terk,0,97,97,104,space,1.6919299950000095,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
They'll say 'teegus' this Tuesday,They'll say '{word}' this Tuesday,teegus,0,98,98,115,space,1.6920580370001517,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
She'll say 'tergus' this Sunday,You'll say '{word}' this Monday,tergus,0,99,99,69,space,1.6418584729999566,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
You'll say 'terg' this Monday,They'll say '{word}' this Tuesday,terg,0,100,100,33,space,1.2907473260002007,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
I'll say 'teeb' this Thursday,You'll say '{word}' this Monday,teeb,0,101,101,1,space,1.5251686510000582,en14,2019_Mar_01_1115,english,3.0.5,60.22151774692573,
