sentence,frame,word
I'll say 'teep' this Thursday,I'll say '{word}' this Thursday,teep
I'll say 'teeb' this Thursday,You'll say '{word}' this Monday,teeb
I'll say 'turp' this Thursday,She'll say '{word}' this Sunday,turp
I'll say 'turb' this Thursday,We'll say '{word}' this Friday,turb
I'll say 'tarp' this Thursday,They'll say '{word}' this Tuesday,tarp
I'll say 'tarb' this Thursday,I'll say '{word}' this Thursday,tarb
I'll say 'teek' this Thursday,You'll say '{word}' this Monday,teek
I'll say 'teeg' this Thursday,She'll say '{word}' this Sunday,teeg
I'll say 'turk' this Thursday,We'll say '{word}' this Friday,turk
I'll say 'turg' this Thursday,They'll say '{word}' this Tuesday,turg
I'll say 'tark' this Thursday,I'll say '{word}' this Thursday,tark
I'll say 'targ' this Thursday,You'll say '{word}' this Monday,targ
I'll say 'teepus' this Thursday,She'll say '{word}' this Sunday,teepus
I'll say 'teebus' this Thursday,We'll say '{word}' this Friday,teebus
I'll say 'turpus' this Thursday,They'll say '{word}' this Tuesday,turpus
I'll say 'turbus' this Thursday,I'll say '{word}' this Thursday,turbus
I'll say 'tarpus' this Thursday,You'll say '{word}' this Monday,tarpus
I'll say 'tarbus' this Thursday,She'll say '{word}' this Sunday,tarbus
I'll say 'teekus' this Thursday,We'll say '{word}' this Friday,teekus
I'll say 'teegus' this Thursday,They'll say '{word}' this Tuesday,teegus
I'll say 'turkus' this Thursday,I'll say '{word}' this Thursday,turkus
I'll say 'turgus' this Thursday,You'll say '{word}' this Monday,turgus
I'll say 'tarkus' this Thursday,She'll say '{word}' this Sunday,tarkus
I'll say 'targus' this Thursday,We'll say '{word}' this Friday,targus
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep
You'll say 'teeb' this Monday,You'll say '{word}' this Monday,teeb
You'll say 'turp' this Monday,She'll say '{word}' this Sunday,turp
You'll say 'turb' this Monday,We'll say '{word}' this Friday,turb
You'll say 'tarp' this Monday,They'll say '{word}' this Tuesday,tarp
You'll say 'tarb' this Monday,I'll say '{word}' this Thursday,tarb
You'll say 'teek' this Monday,You'll say '{word}' this Monday,teek
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg
You'll say 'turk' this Monday,We'll say '{word}' this Friday,turk
You'll say 'turg' this Monday,They'll say '{word}' this Tuesday,turg
You'll say 'tark' this Monday,I'll say '{word}' this Thursday,tark
You'll say 'targ' this Monday,You'll say '{word}' this Monday,targ
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus
You'll say 'teebus' this Monday,We'll say '{word}' this Friday,teebus
You'll say 'turpus' this Monday,They'll say '{word}' this Tuesday,turpus
You'll say 'turbus' this Monday,I'll say '{word}' this Thursday,turbus
You'll say 'tarpus' this Monday,You'll say '{word}' this Monday,tarpus
You'll say 'tarbus' this Monday,She'll say '{word}' this Sunday,tarbus
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus
You'll say 'teegus' this Monday,They'll say '{word}' this Tuesday,teegus
You'll say 'turkus' this Monday,I'll say '{word}' this Thursday,turkus
You'll say 'turgus' this Monday,You'll say '{word}' this Monday,turgus
You'll say 'tarkus' this Monday,She'll say '{word}' this Sunday,tarkus
You'll say 'targus' this Monday,We'll say '{word}' this Friday,targus
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep
She'll say 'teeb' this Sunday,You'll say '{word}' this Monday,teeb
She'll say 'turp' this Sunday,She'll say '{word}' this Sunday,turp
She'll say 'turb' this Sunday,We'll say '{word}' this Friday,turb
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp
She'll say 'tarb' this Sunday,I'll say '{word}' this Thursday,tarb
She'll say 'teek' this Sunday,You'll say '{word}' this Monday,teek
She'll say 'teeg' this Sunday,She'll say '{word}' this Sunday,teeg
She'll say 'turk' this Sunday,We'll say '{word}' this Friday,turk
She'll say 'turg' this Sunday,They'll say '{word}' this Tuesday,turg
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark
