stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
51,Sentivo "poco" di nuovo,Sentivo X di nuovo,poco,p,o,k,back,mid-low,labial,velar,0,0,0,50,space,2.33745002747,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
163,Sentivo "chico" di nuovo,Sentivo X di nuovo,chico,k,i,k,front,high,velar,velar,0,1,1,162,space,4.47084116936,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
9,Scrivete "pipo" sul foglio,Scrivete X sul foglio,pipo,p,i,p,front,high,labial,labial,0,2,2,8,space,2.13535404205,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
115,Sentivo "tuco" di nuovo,Sentivo X di nuovo,tuco,t,u,k,back,high,coronal,velar,0,3,3,114,space,2.07101917267,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
65,Scrivete "tipo" sul foglio,Scrivete X sul foglio,tipo,t,i,p,front,high,coronal,labial,0,4,4,64,space,2.35297107697,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
58,Ha detto "tapo" sei volte,Ha detto X sei volte,tapo,t,a,p,central,low,coronal,labial,0,5,5,57,space,2.1875269413,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
119,Sentivo "capo" di nuovo,Sentivo X di nuovo,capo,k,a,p,central,low,velar,labial,0,6,6,118,space,1.77046322823,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
104,Ripete "teco" da sempre,Ripete X da sempre,teco,t,e,k,front,mid-high,coronal,velar,0,7,7,103,space,1.87028408051,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
117,Scrivete "capo" sul foglio,Scrivete X sul foglio,capo,k,a,p,central,low,velar,labial,0,8,8,116,space,2.052090168,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
149,Scrivete "coto" sul foglio,Scrivete X sul foglio,coto,k,o,t,back,mid-low,velar,coronal,0,9,9,148,space,1.85388684273,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
81,Scrivete "teto" sul foglio,Scrivete X sul foglio,teto,t,e,t,front,mid-high,coronal,coronal,0,10,10,80,space,1.90204596519,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
111,Sentivo "toco" di nuovo,Sentivo X di nuovo,toco,t,o,k,back,mid-low,coronal,velar,0,11,11,110,space,1.78690099716,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
127,Sentivo "chipo" di nuovo,Sentivo X di nuovo,chipo,k,i,p,front,high,velar,labial,0,12,12,126,space,1.93663787842,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
75,Sentivo "tupo" di nuovo,Sentivo X di nuovo,tupo,t,u,p,back,high,coronal,labial,0,13,13,74,space,1.7183380127,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
130,Ha detto "copo" sei volte,Ha detto X sei volte,copo,k,o,p,back,mid-low,velar,labial,0,14,14,129,space,1.48692011833,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
7,Sentivo "pepo" di nuovo,Sentivo X di nuovo,pepo,p,e,p,front,mid-high,labial,labial,0,15,15,6,space,1.76933407784,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
