stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
20,Ripete "pupo" da sempre,Ripete X da sempre,pupo,p,u,p,back,high,labial,labial,0,0,0,19,space,10.1068129539,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
105,Scrivete "tico" sul foglio,Scrivete X sul foglio,tico,t,i,k,front,high,coronal,velar,0,1,1,104,space,1.76865911484,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
12,Ripete "pipo" da sempre,Ripete X da sempre,pipo,p,i,p,front,high,labial,labial,0,2,2,11,space,1.51941204071,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
26,Ha detto "pito" sei volte,Ha detto X sei volte,pito,p,i,t,front,high,labial,coronal,0,3,3,25,space,1.88786411285,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
158,Ha detto "checo" sei volte,Ha detto X sei volte,checo,k,e,k,front,mid-high,velar,velar,0,4,4,157,space,1.57172417641,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
153,Scrivete "cuto" sul foglio,Scrivete X sul foglio,cuto,k,u,t,back,high,velar,coronal,0,5,5,152,space,1.587692976,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
148,Ripete "chito" da sempre,Ripete X da sempre,chito,k,i,t,front,high,velar,coronal,0,6,6,147,space,1.41885900497,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
125,Scrivete "chipo" sul foglio,Scrivete X sul foglio,chipo,k,i,p,front,high,velar,labial,0,7,7,124,space,5.00389909744,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
106,Ha detto "tico" sei volte,Ha detto X sei volte,tico,t,i,k,front,high,coronal,velar,0,8,8,105,space,1.28672909737,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
101,Scrivete "teco" sul foglio,Scrivete X sul foglio,teco,t,e,k,front,mid-high,coronal,velar,0,9,9,100,space,1.31870913506,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
88,Ripete "tito" da sempre,Ripete X da sempre,tito,t,i,t,front,high,coronal,coronal,0,10,10,87,space,1.57121419907,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
98,Ha detto "taco" sei volte,Ha detto X sei volte,taco,t,a,k,central,low,coronal,velar,0,11,11,97,space,1.519728899,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
63,Sentivo "tepo" di nuovo,Sentivo X di nuovo,tepo,t,e,p,front,mid-high,coronal,labial,0,12,12,62,space,1.30269503593,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
102,Ha detto "teco" sei volte,Ha detto X sei volte,teco,t,e,k,front,mid-high,coronal,velar,0,13,13,101,space,1.4017598629,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
77,Scrivete "tato" sul foglio,Scrivete X sul foglio,tato,t,a,t,central,low,coronal,coronal,0,14,14,76,space,1.33767795563,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
118,Ha detto "capo" sei volte,Ha detto X sei volte,capo,k,a,p,central,low,velar,labial,0,15,15,117,space,1.43610787392,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
76,Ripete "tupo" da sempre,Ripete X da sempre,tupo,t,u,p,back,high,coronal,labial,0,16,16,75,space,1.4019639492,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
137,Scrivete "cato" sul foglio,Scrivete X sul foglio,cato,k,a,t,central,low,velar,coronal,0,17,17,136,space,1.33514380455,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
41,Scrivete "peco" sul foglio,Scrivete X sul foglio,peco,p,e,k,front,mid-high,labial,velar,0,18,18,40,space,1.40277099609,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
51,Sentivo "poco" di nuovo,Sentivo X di nuovo,poco,p,o,k,back,mid-low,labial,velar,0,19,19,50,space,1.26954317093,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
147,Sentivo "chito" di nuovo,Sentivo X di nuovo,chito,k,i,t,front,high,velar,coronal,0,20,20,146,space,1.18569993973,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
73,Scrivete "tupo" sul foglio,Scrivete X sul foglio,tupo,t,u,p,back,high,coronal,labial,0,21,21,72,space,1.23646688461,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
166,Ha detto "coco" sei volte,Ha detto X sei volte,coco,k,o,k,back,mid-low,velar,velar,0,22,22,165,space,1.21849894524,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
89,Scrivete "toto" sul foglio,Scrivete X sul foglio,toto,t,o,t,back,mid-low,coronal,coronal,0,23,23,88,space,1.13536000252,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
151,Sentivo "coto" di nuovo,Sentivo X di nuovo,coto,k,o,t,back,mid-low,velar,coronal,0,24,24,150,space,2.90350699425,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
66,Ha detto "tipo" sei volte,Ha detto X sei volte,tipo,t,i,p,front,high,coronal,labial,0,25,25,65,space,1.15341114998,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
140,Ripete "cato" da sempre,Ripete X da sempre,cato,k,a,t,central,low,velar,coronal,0,26,26,139,space,1.15312385559,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
