"word","phonemic","phonetic","gloss","source"
,,"nœːv","new.ms","prieto2000"
,,"nœːf","new.ms","prieto2000"
,,"nœva","new.fs","prieto2000"
,,"viːv","alive.ms","prieto2000"
,,"viːf","alive.ms","prieto2000"
,,"viva","alive.fs","prieto2000"
,,"tuːz","boy","prieto2000"
,,"ˈtuza","girl","prieto2000"
,,"naːz","nose","prieto2000"
,,"naːs","nose","prieto2000"
,,"laːg","lake","prieto2000"
,,"laːk","lake","prieto2000"
,,"fiːg","fig","prieto2000"
,,"fiːk","fig","prieto2000"
,,"reːd","net","prieto2000"
,,"reːt","net","prieto2000"
,,"seːt","thirst","prieto2000"
,,"myf","mouldy.ms","prieto2000"
,,"myfa","mouldy.fs","prieto2000"
,,"pɛs","fish","prieto2000"
,,"peˈsam","quantitative of fish","prieto2000"
,,"spɛs","dense.ms","prieto2000"
,,"ˈspesa","dense.fs","prieto2000"
,,"pas","step","prieto2000"
,,"paˈsaː","to pass","prieto2000"
,,"tas","tax","prieto2000"
,,"taˈsaː","to tax","prieto2000"
,,"gat","cat","prieto2000"
,,"gatɔ̃","big cat","prieto2000"
,,"sɛt","seven","prieto2000"
,,"ˈsɛteˈmɛz","ko coin","prieto2000"
,,"sak","sack","prieto2000"
,,"saˈkɛt","sack.dim","prieto2000"
,,"peːl","hair","prieto2000"
,,"pɛl","skin","prieto2000"
,,"feːl","faithful.ms","prieto2000"
,,"fel","do it. 3s","prieto2000"
,,"mœːl","mass","prieto2000"
,,"mɔl","soft.ms","prieto2000"
,,"kuːl","strainer","prieto2000"
,,"kɔl","neck","prieto2000"
,,"fiːl","son","prieto2000"
,,"stil","style","prieto2000"
,,"kaːl","drop; fall","prieto2000"
,,"kal","corn","prieto2000"
,,"baːl","bales","prieto2000"
,,"bal","dance","prieto2000"
,,"kan","reed.p","prieto2000"
,,"kãː","dog","prieto2000"
,,"pan","cloth","prieto2000"
,,"pãː","brean","prieto2000"
,,"dɔn","woman","prieto2000"
,,"mãː","hand","prieto2000"
,,"peːr","pear","prieto2000"
,,"fɛːr","iron","prieto2000"
,,"ka:r","cart; dear.ms","prieto2000"
,,"sɔːr","soft.ms","prieto2000"
,,"toːr","tower","prieto2000"
,,"doːr","(it) hurts","prieto2000"
,,"uːr","hour","prieto2000"
,,"duluːr","pain","prieto2000"
,,"mɛz","half-MASC.SG","iosad2016"
,,"mɛza","half-FEM.SG","iosad2016"
,,"gøb","hunchbacked-MASC.SG","iosad2016"
,,"gøp","hunchbacked-MASC.SG","iosad2016"
,,"gøba","hunchbacked-FEM.SG","iosad2016"
