item,word,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,language
25,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal,polish
26,pada,pada,p,voiceless,a,central,low,d,voiced,coronal,polish
27,paka,paka,p,voiceless,a,central,low,k,voiceless,velar,polish
28,paga,paga,p,voiceless,a,central,low,g,voiced,velar,polish
29,bata,bata,b,voiced,a,central,low,t,voiceless,coronal,polish
30,bada,bada,b,voiced,a,central,low,d,voiced,coronal,polish
31,baka,baka,b,voiced,a,central,low,k,voiceless,velar,polish
32,baga,baga,b,voiced,a,central,low,g,voiced,velar,polish
33,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal,polish
34,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal,polish
35,poko,poko,p,voiceless,o,back,mid,k,voiceless,velar,polish
36,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar,polish
37,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal,polish
38,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal,polish
39,boko,boko,b,voiced,o,back,mid,k,voiceless,velar,polish
40,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar,polish
41,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal,polish
42,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal,polish
43,puku,puku,p,voiceless,u,back,high,k,voiceless,velar,polish
44,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar,polish
45,butu,butu,b,voiced,u,back,high,t,voiceless,coronal,polish
46,budu,budu,b,voiced,u,back,high,d,voiced,coronal,polish
47,buku,buku,b,voiced,u,back,high,k,voiceless,velar,polish
48,bugu,bugu,b,voiced,u,back,high,g,voiced,velar,polish
