index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,5.15624308586,,,,,,,,,,,,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.0245089531,,,,,,,,,,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.63934397697,,,,,,,,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.27171683311,,,,,,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.50472998619,,,,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
4,5,0,../data/raw/stimuli/piti0.wav,i,slash,t_right,voicing,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,slash,1,1.43607282639,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
3,0,5,../data/raw/stimuli/pidi.wav,i,z,t_right,confound,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,z,1,0.468915939331,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
2,5,0,../data/raw/stimuli/pata0.wav,a,slash,t_right,voicing,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,slash,1,0.603183031082,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
5,0,5,../data/raw/stimuli/pudu.wav,u,z,t_right,confound,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,z,1,0.503234148026,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
1,0,5,../data/raw/stimuli/pada.wav,a,z,t_right,confound,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,z,1,0.719544887543,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
6,5,0,../data/raw/stimuli/putu0.wav,u,slash,t_right,voicing,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,slash,1,0.702836036682,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
4,5,0,../data/raw/stimuli/piti0.wav,i,slash,t_right,voicing,0,0,0,0,1,0,6,3,,,,,,,,,,,,,,,,,,,slash,1,0.886559963226,,,,,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
