index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.72148513794,space,4.32151794434,space,4.83817911148,space,0.302550077438,,,,,,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.20383882523,,,,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
4,5,0,../data/raw/stimuli/piti0.wav,i,slash,t_right,voicing,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,slash,1,0.502347946167,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
5,0,5,../data/raw/stimuli/pudu.wav,u,z,t_right,confound,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,z,1,0.386208057404,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
2,5,0,../data/raw/stimuli/pata0.wav,a,slash,t_right,voicing,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,slash,1,0.369833946228,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,0,5,../data/raw/stimuli/pidi.wav,i,z,t_right,confound,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,z,1,0.35241484642,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
6,5,0,../data/raw/stimuli/putu0.wav,u,slash,t_right,voicing,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,slash,1,0.169158935547,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
1,0,5,../data/raw/stimuli/pada.wav,a,z,t_right,confound,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,z,1,0.669481039047,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
4,5,0,../data/raw/stimuli/piti0.wav,i,slash,t_right,voicing,,,,,0,0,0,0,1,0,6,3,,,,,,,,,,,,,,,,,,,slash,1,0.336364984512,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
1,0,5,../data/raw/stimuli/pada.wav,a,z,t_right,confound,,,,,0,0,0,0,1,1,7,0,,,,,,,,,,,,,,,,,,,z,1,0.652009010315,,,,,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
