index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,15.8950657845,space,0.933917999268,space,3.2878241539,space,4.30487799644,,,,,,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.318709135056,,,,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,z,1,0.636482954025,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,z,1,0.635866165161,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,slash,1,0.584239006042,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,slash,1,0.467121839523,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,slash,1,0.435235977173,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,z,1,0.435993909836,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,1,0,6,5,,,,,,,,,,,,,,,z,1,0.436398029327,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,1,1,7,0,,,,,,,,,,,,,,,slash,1,0.402945995331,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,1,2,8,4,,,,,,,,,,,,,,,slash,1,0.403109788895,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
