"speaker","file","date","word","time","rel.time","proportion","maximum","minimum"
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5104047999,0.0206029787,0.2163333062,0.3469229059,0.8830319699
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5179870277,0.0281852066,0.295947446,0.3470048399,0.8854804443
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5254602784,0.0356584573,0.3744173144,0.3421439905,0.8994732874
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5328259017,0.0430240805,0.4517570842,0.3354053848,0.8986048309
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5401520026,0.0503501814,0.5286818657,0.3309076311,0.9039767186
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5474036897,0.0576018685,0.6048252948,0.3246408463,0.8892307787
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5546000375,0.0647982163,0.6803876553,0.3192085598,0.8899127923
"sc01","sc01-001","29/11/2016 15:10:47","pugu",1.5617565563,0.0719547351,0.7555318081,0.321071305,0.8898877
"sc01","sc01-002","29/11/2016 15:10:52","pada",0.9545364398,0.0168267062,0.1210829294,0.3045891809,0.869126331
"sc01","sc01-002","29/11/2016 15:10:52","pada",0.9631035299,0.0253937963,0.1827306668,0.2935377055,0.8828119658
"sc01","sc01-002","29/11/2016 15:10:52","pada",0.9715320287,0.0338222951,0.2433811183,0.2882861172,0.8846661807
"sc01","sc01-002","29/11/2016 15:10:52","pada",0.9802845017,0.0425747681,0.3063628487,0.2765867086,0.8719151332
"sc01","sc01-002","29/11/2016 15:10:52","pada",0.9889255312,0.0512157976,0.3685426452,0.2697023606,0.862697142
"sc01","sc01-002","29/11/2016 15:10:52","pada",0.9975155426,0.059805809,0.4303553216,0.2664350301,0.8668359005
"sc01","sc01-002","29/11/2016 15:10:52","pada",1.0059706114,0.0682608778,0.4911969673,0.2600112756,0.8653649696
"sc01","sc01-002","29/11/2016 15:10:52","pada",1.014483218,0.0767734844,0.5524526481,0.2495825949,0.8723058811
"sc01","sc01-002","29/11/2016 15:10:52","pada",1.0227090291,0.0849992955,0.6116445838,0.2625748177,0.8798790248
"sc01","sc01-002","29/11/2016 15:10:52","pada",1.030827081,0.0931173474,0.6700610973,0.2615521756,0.884489489
"sc01","sc01-002","29/11/2016 15:10:52","pada",1.0389704814,0.1012607478,0.7286600153,0.2581607505,0.8820696977
"sc01","sc01-002","29/11/2016 15:10:52","pada",1.0469832711,0.1092735375,0.7863190741,0.2574529506,0.8860537435
"sc01","sc01-003","29/11/2016 15:10:57","poco",1.1570972259,0.0205436137,0.1618470703,0.2520879868,0.8675895108
