speaker,word,target,max,release,voff,voffr
SC01,pugu,--undefined--,1.6305,1.681,--undefined--,0
SC01,pada,1.096999,1.1105,1.141999,--undefined--,0
SC01,poko,1.302,1.3145,1.332999,1.2727166200718378,60.282379928162214
SC01,pata,1.187999,1.204499,1.237999,1.1780430574698808,59.955942530119266
SC01,boko,1.250999,1.2635,1.278999,1.2194213790067165,59.57762099328345
SC01,podo,1.235,1.2455,1.270999,--undefined--,0
SC01,boto,1.284999,1.304499,1.33,1.265938908257132,64.06109174286811
SC01,paka,1.070999,1.083499,--undefined--,1.0408773173836072,--undefined--
SC01,bodo,1.118,1.1265,1.155999,--undefined--,0
SC01,puku,--undefined--,1.1245,1.237999,1.0949829982160664,143.0160017839337
SC01,paga,1.328999,1.339499,--undefined--,--undefined--,0
SC01,bada,1.201,1.2175,1.247,--undefined--,0
SC01,bogo,1.241,1.2535,1.268,--undefined--,0
SC01,putu,1.407,1.417499,1.443,1.3864527619733327,56.54723802666739
SC01,bata,1.157999,1.1725,1.207999,1.145442216905126,62.55678309487411
SC01,buku,1.201,1.210499,1.258999,--undefined--,0
SC01,baka,1.248,1.2615,--undefined--,1.2217639029465588,--undefined--
SC01,butu,1.302999,1.3145,1.342999,1.2893002176124342,53.69878238756587
SC01,bugu,1.211,1.2215,1.233,--undefined--,0
SC01,pudu,1.207,1.218499,1.241999,--undefined--,0
SC01,baga,1.423,1.4355,--undefined--,--undefined--,0
SC01,pogo,1.385,1.3985,1.417999,--undefined--,0
SC01,budu,1.348999,1.3585,1.383999,--undefined--,0
SC01,poto,1.326999,1.341499,1.383,1.3182066376086254,64.79336239137456
SC01,pugu,--undefined--,1.7195,1.770999,--undefined--,0
SC01,pada,1.177,1.190499,1.219,--undefined--,0
SC01,poko,1.056999,1.0685,1.078999,1.0263072146538526,52.69178534614749
SC01,pata,1.163,1.1745,1.207999,1.1369985975187513,71.00040248124873
SC01,boko,--undefined--,1.1385,--undefined--,--undefined--,0
SC01,podo,1.201,1.216499,1.248,--undefined--,0
SC01,boto,1.423999,1.4395,1.483,1.4151429102123083,67.85708978769178
SC01,paka,1.270999,1.2835,1.304,1.2386377033897602,65.36229661023984
SC01,bodo,1.231999,1.2495,1.262999,--undefined--,0
SC01,puku,1.112,1.1205,1.217,1.1052452829178556,111.75471708214447
SC01,paga,1.179999,1.1895,--undefined--,--undefined--,0
SC01,bada,1.241999,1.2535,1.280999,--undefined--,0
SC01,bogo,1.362,1.373499,1.385999,--undefined--,0
SC01,putu,1.282999,1.2935,1.33,--undefined--,0
SC01,bata,1.262999,1.276499,1.310999,1.2404640894406835,70.53491055931649
SC01,buku,--undefined--,1.1525,1.169,1.1353067049154084,33.693295084591625
SC01,baka,1.098999,1.109499,--undefined--,1.063089451159305,--undefined--
SC01,butu,1.197,1.2115,1.249,1.1936976489347408,55.30235106525927
SC01,bugu,1.233999,1.2415,1.258,--undefined--,0
SC01,pudu,1.399999,1.407499,1.453,--undefined--,0
SC01,baga,1.358999,1.369499,1.387999,--undefined--,0
SC01,pogo,1.26,1.270499,1.278999,--undefined--,0
SC01,budu,1.473999,1.482499,1.514,--undefined--,0
SC01,poto,1.191,1.2055,1.237,1.1556946156388175,81.30538436118262
SC01,pugu,--undefined--,1.462499,1.556,--undefined--,0
SC01,pada,0.990999,1.0035,1.030999,--undefined--,0
SC01,poko,1.229999,1.242499,1.260999,1.1970279231154122,63.97107688458781
SC01,pata,1.276999,1.2975,1.33,1.2642814471357295,65.71855286427053
SC01,boko,1.167,1.179499,--undefined--,1.119908711533149,--undefined--
SC01,podo,1.203,1.2155,1.250999,--undefined--,0
SC01,paka,1.090999,1.1045,--undefined--,1.0537595193541358,--undefined--
SC01,bodo,1.133999,1.1485,1.169999,--undefined--,0
SC01,puku,1.056999,1.0705,1.137999,1.0465998967561236,91.39910324387634
SC01,paga,1.199,1.214499,--undefined--,--undefined--,0
SC01,bada,1.068,1.081499,1.110999,--undefined--,0
SC01,bogo,1.118,1.1285,1.141,--undefined--,0
SC01,putu,1.092,1.1025,1.137,--undefined--,0
SC01,bata,1.399999,1.4125,1.445,1.382557942437854,62.44205756214605
SC01,buku,1.088,1.0985,--undefined--,--undefined--,0
SC01,bugu,1.058999,1.069499,--undefined--,--undefined--,0
SC01,baga,1.169999,1.1855,--undefined--,--undefined--,0
SC01,budu,1.04,1.048499,1.159,--undefined--,0
SC01,poto,1.157999,1.167499,1.211999,1.1538971820273105,58.10181797268954
SC01,pugu,--undefined--,2.2665,2.326999,--undefined--,0
SC01,pada,1.175,1.1875,1.215999,--undefined--,0
SC01,poko,1.161999,1.181499,--undefined--,1.1311041767359171,--undefined--
SC01,pata,1.106,1.1205,1.155999,1.0903788827015102,65.62011729848982
SC01,boko,1.385,1.401499,--undefined--,1.3492042140625624,--undefined--
SC01,podo,1.252999,1.266499,1.296,--undefined--,0
SC01,boto,1.139,1.159499,1.193,1.1266204152699737,66.37958473002637
SC01,paka,1.066999,1.0825,--undefined--,1.0367018458751383,--undefined--
SC01,bodo,1.094999,1.107499,1.137999,--undefined--,0
SC01,puku,1.106999,1.117499,1.183,1.0908411904436301,92.1588095563699
SC01,paga,1.217,1.2295,--undefined--,--undefined--,0
SC01,bada,1.209999,1.2235,1.254,--undefined--,0
SC01,bogo,1.286,1.2935,1.308,--undefined--,0
SC01,putu,1.33,1.3425,1.375999,1.3135722380525912,62.426761947408814
SC01,bata,1.203,1.216499,1.252999,1.1836688809128757,69.33011908712427
SC01,buku,1.235,1.2435,--undefined--,1.2095484323100087,--undefined--
SC01,baka,1.243,1.256499,1.280999,1.2349115285613457,46.087471438654326
SC01,butu,1.290999,1.3015,1.334999,1.2801860442478226,54.81295575217749
SC01,bugu,1.451,1.460499,--undefined--,--undefined--,0
SC01,pudu,1.322999,1.331499,1.373,--undefined--,0
SC01,baga,1.439999,1.452499,--undefined--,--undefined--,0
SC01,pogo,1.324999,1.335499,1.346999,--undefined--,0
SC01,budu,1.326,--undefined--,--undefined--,--undefined--,0
SC01,poto,--undefined--,--undefined--,1.435999,--undefined--,--undefined--
SC01,pugu,--undefined--,1.2195,1.306999,--undefined--,0
SC01,pada,1.195,1.2075,1.237,--undefined--,0
SC01,poko,1.078999,1.091499,--undefined--,1.0487087160562634,--undefined--
SC01,pata,1.141,1.157499,1.191,1.1280013103238935,62.99868967610656
SC01,boko,1.248,1.258499,1.272999,1.2203794487876436,52.6195512123564
SC01,podo,1.064999,1.0805,1.114999,--undefined--,0
SC01,boto,--undefined--,--undefined--,1.342999,--undefined--,--undefined--
SC01,paka,1.199,1.210499,--undefined--,1.169294140547868,--undefined--
SC01,bodo,1.195,1.2055,1.235999,--undefined--,0
SC01,puku,1.191999,1.200499,--undefined--,--undefined--,0
SC01,paga,1.229999,1.244499,--undefined--,--undefined--,0
SC01,bada,1.221999,1.2335,1.262999,--undefined--,0
SC01,bogo,1.268999,1.284499,--undefined--,--undefined--,0
SC01,putu,1.139999,1.1505,1.197999,1.1370159453593378,60.983054640662225
SC01,bata,1.209999,1.2255,1.26,1.19379620147346,66.20379852654001
SC01,buku,--undefined--,1.2595,1.284999,1.257584241059459,27.414758940540906
SC01,baka,1.211,1.226499,--undefined--,1.182682520092385,--undefined--
SC01,butu,1.264,1.2835,1.316,1.2458210820821687,70.17891791783137
SC01,bugu,1.26,1.2695,--undefined--,--undefined--,0
SC01,pudu,1.151,1.1625,1.187,--undefined--,0
SC01,baga,1.298,1.3095,--undefined--,--undefined--,0
SC01,pogo,1.038999,1.052499,1.072,--undefined--,0
SC01,budu,1.112999,1.125499,1.153,--undefined--,0
SC01,poto,1.137,1.149499,1.187999,1.1174426781237308,70.55632187626925
SC01,pugu,--undefined--,1.7035,1.745,--undefined--,0
SC01,pada,1.092,1.1045,1.135999,--undefined--,0
SC01,poko,0.964999,0.9775,--undefined--,0.9442293617122931,--undefined--
SC01,pata,1.06,1.0725,1.106999,1.0367063023463052,70.29269765369483
SC01,boko,1,1.022499,--undefined--,0.9815831389843712,--undefined--
SC01,podo,1.040999,1.0535,1.086,--undefined--,0
SC01,boto,1.044999,1.054499,1.094999,1.0282666858014002,66.73231419859982
SC01,paka,1.098,1.109499,--undefined--,1.0654902610178116,--undefined--
SC01,bodo,1.038999,1.052499,1.092,--undefined--,0
SC01,puku,1.066999,1.0745,1.189999,1.0622098583525992,127.78914164740085
SC01,paga,1.106,1.117499,--undefined--,--undefined--,0
SC01,bada,1.064,1.079499,1.11,--undefined--,0
SC01,bogo,1.171,1.181499,--undefined--,--undefined--,0
SC01,putu,1.098999,1.109499,1.143999,1.0783147243026308,65.68427569736923
SC01,bata,1.207,1.2215,1.258,1.1959618845275664,62.03811547243365
SC01,buku,1.131,1.139499,1.157,--undefined--,0
SC01,baka,1.270999,1.2855,--undefined--,1.2415496130064152,--undefined--
SC01,butu,1.141999,1.155499,1.189,1.1361812385473278,52.81876145267228
SC01,bugu,1.334,1.3425,--undefined--,--undefined--,0
SC01,pudu,1.227,1.240499,1.274,--undefined--,0
