speaker,word,target,max,release,voff,voffr
SDC02,pugu,--undefined--,1.968499,1.991,--undefined--,0
SDC02,butu,1.076,1.0945,1.213999,--undefined--,0
SDC02,baca,1.191,1.2135,1.264999,1.1511325159582022,113.86648404179778
SDC02,bogo,1.314,1.339499,1.368,--undefined--,0
SDC02,podo,1.288999,1.304499,1.330999,--undefined--,0
SDC02,bada,1.389,1.4045,1.429999,--undefined--,0
SDC02,boco,1.739999,1.752499,1.77,1.6583683495360186,111.63165046398137
SDC02,pata,1.487,1.5015,1.548999,1.4451071294809945,103.89187051900551
SDC02,pogo,1.578,1.8525,--undefined--,--undefined--,0
SDC02,paca,1.675,1.688499,1.691,1.6039951077056964,87.00489229430363
SDC02,pudu,1.854999,1.871499,1.951999,--undefined--,0
SDC02,baga,1.631999,1.641499,1.651999,--undefined--,0
SDC02,poto,1.584999,1.619499,1.689,1.545082087470116,143.91791252988395
SDC02,bucu,1.497,1.5095,1.512999,1.4239547022644392,89.04429773556078
SDC02,putu,1.506999,1.5355,1.804,--undefined--,0
SDC02,bugu,1.469999,1.4935,1.502,--undefined--,0
SDC02,boto,1.411999,1.417499,1.435,--undefined--,0
SDC02,poco,1.641,2.0085,--undefined--,1.5739755005504017,--undefined--
SDC02,pucu,1.368999,1.3865,1.407,1.3581964921109908,48.803507889009225
SDC02,budu,1.387999,1.4045,1.469999,--undefined--,0
SDC02,bata,1.705999,1.7355,1.82,1.6683864773911197,151.6135226088804
SDC02,paga,1.449,1.4595,1.471,--undefined--,0
SDC02,pugu,--undefined--,1.417499,1.433999,--undefined--,0
SDC02,butu,1.157,1.175499,1.209,--undefined--,0
SDC02,baca,1.473,1.4855,1.500999,--undefined--,0
SDC02,bogo,1.427999,1.4455,1.449999,--undefined--,0
SDC02,podo,1.405,1.419499,1.473999,--undefined--,0
SDC02,bada,1.187999,1.1915,1.391,--undefined--,0
SDC02,boco,1.387999,1.4025,1.405999,--undefined--,0
SDC02,pata,1.385999,1.4065,1.461999,--undefined--,0
SDC02,paca,1.461,1.4775,1.483,--undefined--,0
SDC02,pudu,1.368,1.387499,1.588999,--undefined--,0
SDC02,baga,1.78,1.859499,--undefined--,--undefined--,0
SDC02,poto,--undefined--,--undefined--,2.007,--undefined--,--undefined--
SDC02,bucu,1.58,1.913499,--undefined--,--undefined--,0
SDC02,putu,1.419999,1.4475,1.54,1.3444807952279902,195.5192047720098
SDC02,bugu,1.653999,--undefined--,--undefined--,--undefined--,0
SDC02,boto,1.5,1.5355,1.596999,1.381190342625857,215.8086573741431
SDC02,poco,1.356999,1.6975,--undefined--,--undefined--,0
SDC02,bodo,1.316,1.331499,1.385,1.2122434760718241,172.75652392817585
SDC02,pucu,1.673,1.6865,1.836,1.610823385454313,225.17661454568704
SDC02,budu,1.306,1.3245,1.379999,--undefined--,0
