item,orth,word,c1,c1phonation,vowel,anteropost,height,c2,c2phonation,c2place
1,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal
2,pada,pada,p,voiceless,a,central,low,d,voiced,coronal
3,paca,paka,p,voiceless,a,central,low,k,voiceless,velar
4,paga,paga,p,voiceless,a,central,low,g,voiced,velar
5,bata,bata,b,voiced,a,central,low,t,voiceless,coronal
6,bada,bada,b,voiced,a,central,low,d,voiced,coronal
7,baca,baka,b,voiced,a,central,low,k,voiceless,velar
8,baga,baga,b,voiced,a,central,low,g,voiced,velar
9,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal
10,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal
11,poco,poko,p,voiceless,o,back,mid,k,voiceless,velar
12,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar
13,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal
14,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal
15,boco,boko,b,voiced,o,back,mid,k,voiceless,velar
16,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar
17,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal
18,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal
19,pucu,puku,p,voiceless,u,back,high,k,voiceless,velar
20,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar
21,butu,butu,b,voiced,u,back,high,t,voiceless,coronal
22,budu,budu,b,voiced,u,back,high,d,voiced,coronal
23,bucu,buku,b,voiced,u,back,high,k,voiceless,velar
24,bugu,bugu,b,voiced,u,back,high,g,voiced,velar
