index,speaker,file,rec_date,word,time,word_duration,c1_duration,c1_closure,c1_rvot,c1_rvofft,vowel_duration,closure_duration,rvot,c2_duration,v2_duration,sentence_duration,c1_rel,v_onset,v_offset,c2_rel,rel_rel
1,pl02,pl02-001,07/02/2017 16:21:26,pata,1.2249119529,318.2680056862,102.5096337333,78.4593917773,24.050241956,108.9867956207,84.9365536647,63.749951232,26.0680135629,89.8179647949,41.0038534933,0.929977,1.3033713447,1.3274215866,1.4123581403,1.4761080915,172.7367468527
2,pl02,pl02-002,07/02/2017 16:21:33,puku,3.594966,380,130,91.053811786,38.946188214,98.946188214,60,76.243999847,23.756000153,100,90,1.009977,1.329194415,1.3681406032,1.4281406032,1.504384603,175.190188061
3,pl02,pl02-003,07/02/2017 16:21:39,pogo,6.0541006223,346.5797810505,124.9639773929,93.3368335617,31.6271438312,118.5161593621,86.889015531,--undefined--,--undefined--,--undefined--,61.505707623,0.864989,1.1435372291,1.1751643729,1.2620533884,--undefined--,--undefined--
4,pl02,pl02-004,07/02/2017 16:21:44,paka,9.0276129972,358.2950295127,106.414600046,87.2636860941,19.150913952,117.755268123,98.6043541711,50.1791482779,32.8047141433,82.9838624212,70.2922128744,0.9770446294,1.336191876,1.35534279,1.4539471442,1.5041262924,167.934416401
5,pl02,pl02-005,07/02/2017 16:21:50,poto,11.4872012452,363.1764331845,129.8453376708,97.4312619129,32.4140757579,126.1370262572,93.7229504992,47.9803983417,52.5765172981,100.5569156398,39.0512293747,1.009977,1.3446325071,1.3770465829,1.4707695334,1.5187499317,174.1174245989
6,pl02,pl02-006,07/02/2017 16:21:55,pugu,14.1264245161,375.8680827313,151.3235138269,102.1860931845,49.1374206424,115.5245105794,66.387089937,--undefined--,--undefined--,--undefined--,41.0037908434,1.084943,1.3183158247,1.3674532454,1.4338403353,--undefined--,--undefined--
7,pl02,pl02-007,07/02/2017 16:22:00,podo,16.599955,380,133.9345031625,96.5317463,37.4027568624,151.6274679234,114.2247110609,43.6873821865,8.0554356445,51.742817831,80.0979679456,1.055011,1.324876769,1.3622795258,1.4765042369,1.5201916191,195.3148501099
8,pl02,pl02-008,07/02/2017 16:22:05,putu,19.019955,370,132.2854527845,104.1884710333,28.0969817511,125.8115289667,97.7145472155,36.431084985,42.5609720903,78.9920570753,61.0079429247,1.0292070292,1.3144382556,1.3425352374,1.4402497846,1.4766808696,162.2426139517
9,pl02,pl02-009,07/02/2017 16:22:10,poko,21.4553689375,383.2309188447,132.6678377688,106.1762839535,26.4915538152,110.6768137781,84.1852599628,58.9503634316,50.8455266147,109.7958900463,56.5819310668,1.1525827648,1.3137447679,1.3402363217,1.4244215817,1.4833719451,169.6271772096
10,pl02,pl02-010,07/02/2017 16:22:16,pada,23.980023,360,120,92.1206865218,27.8793134782,145.7692619814,117.8899485032,39.2477823889,12.8622691079,52.1100514968,70,0.989932,1.2701482217,1.2980275351,1.4159174837,1.455165266,185.0170443703
11,pl02,pl02-011,07/02/2017 16:22:21,pudu,26.394989,360,150,103.3648512116,46.6351487885,132.1105914701,85.4754426816,41.1623378859,13.3622194324,54.5245573184,70,1.059954,1.2930930802,1.339728229,1.4252036717,1.4663660096,173.272929356
12,pl02,pl02-012,07/02/2017 16:22:26,paga,28.5703827988,329.9824986205,116.1772702244,92.404461835,23.7728083893,120.4244869793,96.65167859,44.5424447362,2.3189751862,46.8614199224,70.2921298836,0.979954,0.9497713876,0.973544196,1.0701958746,1.1147383193,164.9669317156
13,pl02,pl02-013,07/02/2017 16:22:55,pata,30.799977,304.3046134657,91.4757828996,72.0189377428,19.4568451568,100.4880054182,81.0311602614,61.104667373,28.713004242,89.817671615,41.9799986896,0.94,1.1504539876,1.1699108328,1.250941993,1.3120466604,161.5926727912
14,pl02,pl02-014,07/02/2017 16:23:00,puku,33.504966,366.9411902322,140,93.8142343277,46.1857656723,95.4442324536,49.2584667813,66.4880897985,54.2534434202,120.7415332187,56.9411902322,1.009977,1.2301634543,1.27634922,1.3256076867,1.3920957765,161.9323222521
15,pl02,pl02-015,07/02/2017 16:23:05,pogo,36.2601643537,351.4603321006,137.6552967394,91.793196998,45.8620997414,123.9643957638,78.1022960223,--undefined--,--undefined--,--undefined--,72.2446238207,1.049977,1.4755856686,1.5214477684,1.5995500644,--undefined--,--undefined--
16,pl02,pl02-016,07/02/2017 16:23:11,paka,38.6643290077,380.6369923318,120.6369923318,95.729508377,24.9074839547,109.2890186816,84.3815347269,70.7949844682,44.8234808049,115.6184652731,60,1.02,1.306271668,1.3311791519,1.4155606867,1.4863556711,180.0840031498
17,pl02,pl02-017,07/02/2017 16:23:16,poto,41.219977,360,115.2692915324,81.7954795906,33.4738119418,117.4337801658,83.959968224,57.3238796355,33.4468606081,90.7707402436,70,0.98,1.2705706655,1.3040444775,1.3880044457,1.4453283253,174.7576598012
18,pl02,pl02-018,07/02/2017 16:23:22,pugu,43.6201894169,389.5352014115,162.0622642464,108.891456664,53.1708075824,109.7949721986,56.6241646162,79.9561275205,25.4819721096,105.4380996302,65.4106729187,1.035012,1.2713937988,1.3245646063,1.381188771,1.4611448985,189.7510997191
19,pl02,pl02-019,07/02/2017 16:23:27,podo,46.049977,352.5962923674,160,106.7533926338,53.2466073662,134.5471279017,81.3005205356,38.3682455241,0.3312339403,38.6994794644,72.5962923674,1.014966,1.2841680344,1.3374146417,1.4187151623,1.4570834078,172.9153734258
20,pl02,pl02-020,07/02/2017 16:23:32,putu,48.329977,343.5266702677,140,103.3291995132,36.6708004868,109.3761249171,72.7053244303,55.9021561153,41.3925194544,97.2946755697,33.5266702677,0.994966,1.2155284217,1.2521992222,1.3249045467,1.3808067028,165.2782810324
21,pl02,pl02-021,07/02/2017 16:23:37,poko,50.6042315394,366.1045126048,127.8925097366,96.3364808594,31.5560288772,108.6820461993,77.1260173221,73.0908552189,41.1337527138,114.2246079327,46.8613776134,1.015011,1.1724047549,1.2039607838,1.2810868011,1.3541776563,181.7729014182
22,pl02,pl02-022,07/02/2017 16:23:42,pada,52.804943,294.8210608929,110,73.4523324349,36.5476675651,122.7645797298,86.2169121647,33.4764294809,3.6221611297,37.0985906106,61.5055581176,0.930023,1.016626625,1.0531742925,1.1393912047,1.1728676342,156.2410092107
23,pl02,pl02-023,07/02/2017 16:23:47,pudu,54.824989,381.002954345,160,109.1327993692,50.8672006308,140.8672006308,90,42.217438321,7.7543839007,49.9718222218,81.0311321232,1.004988,1.0289970828,1.0798642834,1.1698642834,1.2120817218,183.0846389519
24,pl02,pl02-024,07/02/2017 16:23:51,paga,57.1083483297,342.6738237981,115.200886633,87.5511654048,27.6497212281,135.0403782589,107.3906570307,36.9860676674,10.8515886463,47.8376563137,72.2446238207,0.959955,1.1893688829,1.2170186041,1.3244092612,1.3613953288,172.0264459263
25,pl02,pl02-025,07/02/2017 16:24:39,pata,59.784989,301.4031005621,103.2185244053,75.5500005682,27.6685238372,100.8894263581,73.220902521,44.4669843795,29.0935886942,73.5605730737,51.4031005621,0.929977,1.5784528328,1.6061213566,1.6793422591,1.7238092435,145.3564107376
26,pl02,pl02-026,07/02/2017 16:24:44,puku,62.019977,365.0273532922,136.5781691586,102.5362598956,34.0419092631,87.7372303201,53.695321057,86.490480511,23.2360292733,109.7265097843,65.0273532922,1.1,1.1353023755,1.1693442848,1.2230396059,1.3095300864,174.2277108311
27,pl02,pl02-027,07/02/2017 16:24:49,pogo,64.0663191188,368.0566610181,144.489087084,96.8413609098,47.6477261742,131.6076011014,83.9598749272,49.0206434277,12.4848463446,61.5054897723,78.1022092346,0.995011,0.9700539037,1.0177016299,1.1016615048,1.1506821483,180.6282445291
28,pl02,pl02-028,07/02/2017 16:24:54,paka,66.3320789908,353.4124476973,103.4854128616,79.8191745952,23.6662382664,123.2465412088,99.5803029423,47.5369057932,38.3755124316,85.9124182248,64.4343136686,1.01492,1.0941657391,1.1178319773,1.2174122803,1.2649491861,170.783447002
29,pl02,pl02-029,07/02/2017 16:24:59,poto,68.489955,364.9915121096,140.4476917495,103.3006290122,37.1470627373,125.0120359217,87.8649731844,51.8458093698,36.0191638146,87.8649731844,48.8138739913,1.0284974336,1.0812374884,1.1183845512,1.2062495243,1.2580953337,176.8578452915
30,pl02,pl02-030,07/02/2017 16:25:04,pugu,70.7102103901,382.7007720921,159.1332292118,107.5747826908,51.558446521,108.1825403509,56.62409383,84.8871951672,4.9303329768,89.8175281441,77.1259209063,1.055011,1.1347012726,1.1862597191,1.2428838129,1.3277710081,193.0697355181
31,pl02,pl02-031,07/02/2017 16:25:09,podo,73.024966,330.0870457221,130,101.8463088396,28.1536911604,103.2772194647,75.1235283043,50.2004407862,24.6760309095,74.8764716957,50.0870457221,0.955011,1.1333429211,1.1614966122,1.2366201405,1.2868205813,153.4776602509
32,pl02,pl02-032,07/02/2017 16:25:14,putu,75.129955,348.2076095059,135.3791189037,104.5599081466,30.8192107571,116.7316289818,85.9124182248,60.3691457045,25.5432725202,85.9124182248,41.0036541527,1,1.151249602,1.1820688128,1.267981231,1.3283503767,177.1007746863
33,pl02,pl02-033,07/02/2017 16:25:19,poko,77.314943,331.4667284293,125.4721801859,88.3572693124,37.1149108735,91.6427306876,54.5278198141,66.3400278001,33.6599721999,100,51.4667284293,0.950023,1.1257492489,1.1628641598,1.2173919796,1.2837320074,157.9827584877
34,pl02,pl02-034,07/02/2017 16:25:24,pada,79.3795829758,333.8868981007,131.7974597766,98.8594718691,32.9379879075,136.4234007692,103.4854128616,--undefined--,--undefined--,--undefined--,67.3631461081,0.949978,0.9833857583,1.0163237462,1.1198091591,--undefined--,--undefined--
35,pl02,pl02-035,07/02/2017 16:25:28,pudu,81.524989,348.3448429383,172.6148965695,123.8900660125,48.724830557,98.5149820282,49.7901514712,57.7401097535,11.5755913142,69.3157010677,56.62409383,0.994966,1.0988563903,1.1475812208,1.1973713723,1.2551114821,156.2550917817
36,pl02,pl02-036,07/02/2017 16:25:33,paga,83.5313880731,336.8157305402,121.0584074985,97.9334351861,23.1249723124,129.5392176135,106.4142453011,40.3782466144,11.3644598164,51.7427064308,57.6003713098,0.950022,0.9430630049,0.9661879772,1.0726022225,1.1129804691,169.9174642279
37,pl02,pl02-037,07/02/2017 16:25:49,pata,85.799977,295.7402525121,129.7730809416,123.0863742394,6.6867067021,76.9786852496,70.2919785475,40.4943523239,4.6354169234,45.1297692473,50.5454237757,0.904989,1.2398887711,1.2465754778,1.3168674563,1.3573618086,117.4730375735
38,pl02,pl02-038,07/02/2017 16:25:54,puku,87.8028181745,409.0602640474,163.0383391311,108.7418923091,54.296446822,137.2800326073,82.9835857853,77.8198276186,14.9265329649,92.7463605835,70.2919785475,1.029977,1.0805396587,1.1348361055,1.2178196913,1.2956395189,215.0998602259
39,pl02,pl02-039,07/02/2017 16:25:59,pogo,90.0649037701,361.2226675359,159.1332292118,106.314586172,52.8186430398,127.0157315066,74.1970884668,49.9637418419,12.518016867,62.4817587089,65.4105911484,1.034966,1.1110823019,1.1639009449,1.2380980334,1.2880617752,176.9794733485
