source,class,description,base,extension,derived_from,output_of,input_of
UTI,raw,UTI AAA data,,.aa0,,,
UTI,derived,UTI audio,,.wav,UTI AAA data,,alignment-input.praat; sync-egg.praat; burst-detection.praat; get-durations.praat
UTI,derived,UTI AAA prompt text,,.txt,UTI AAA data,,alignment-input.praat; degg-tracing.praat; wavegram.praat; get-durations.praat
UTI,derived,UTI alignment audio,,.wav,UTI audio,alignment-input.praat,
UTI,derived,UTI alignment text,,.txt,UTI AAA prompt text,alignment-input.praat,
UTI,derived,UTI audio filenames,-filenames,.TextGrid,UTI audio,alignment-input.praat,search-area.praat; get-durations.praat
UTI,derived,UTI alignment files ,,.TextGrid,UTI alignment audio; UTI alignment text,SPASS,
UTI,raw,UTI palign,-palign,.TextGrid,,,search-area.praat; get-durations.praat; burst-detection.praat; voicing-duration.praat
UTI,derived,UTI palign chunks,,.TextGrid,UTI palign,search-area.praat,voicing-duration.praat
UTI,derived,UTI search intervals,-search,.TextGrid,UTI palign; UTI audio filenames,search-area.praat,
UTI,derived,UTI search intervals chunks,,.TextGrid,UTI search intervals,"search-area.praat, closure-annotation.praat",closure-annotation.praat; degg-tracing.praat; wavegram.praat
UTI,derived,UTI tongue data,-tongue-cart,.tsv,UTI AAA data,,
UTI,derived,UTI TRA data,-vowel-series,.tsv,UTI AAA data,,
UTI,derived,UTI C1 release,-release-c1,.TextGrid,UTI audio; UTI corrected palign,release-detection-c1.praat,get-durations.praat
UTI,derived,UTI C2 release,-burst,.TextGrid,UTI audio; UTI palign,burst-detection.praat,get-durations.praat
UTI,derived,UTI duration data,-durations,.csv,UTI alignment audio; UTI palign; UTI burst; UTI alignment text; UTI audio filenames,get-durations.praat,
EGG,raw,EGG audio,,.wav,,,sync-egg.praat
EGG,derived,EGG audio synced,,.wav,EGG audio; UTI audio,sync-egg.praat,extract-vuv.praat; degg-tracing.praat; wavegram.praat; voicing-duration.praat
EGG,derived,EGG VUV,-vuv,.TextGrid,EGG audio synced,extract-vuv.praat,voicing-duration.praat
EGG,derived,EGG wavegram data,-wavegram,.csv,EGG audio synced; UTI search intervals chunks; UTI AAA prompt text,wavegram.praat,
EGG,derived,EGG tracegram data,-degg-tracing,.csv,EGG audio synced; UTI search intervals chunks; UTI alignment text,degg-tracing.praat,
EGG,derived,EGG voicing data,-voicing,.csv,EGG audio synced; EGG VUV; UTI palign,voicing-duration.praat,
