item,orth,word,vowel,anteropost,height,c2,c2phonation,c2place
1,pata,pata,a,central,low,t,voiceless,coronal
2,pada,pada,a,central,low,d,voiced,coronal
3,paca,paka,a,central,low,k,voiceless,velar
4,paga,paga,a,central,low,g,voiced,velar
9,poto,poto,o,back,mid,t,voiceless,coronal
10,podo,podo,o,back,mid,d,voiced,coronal
11,poco,poko,o,back,mid,k,voiceless,velar
12,pogo,pogo,o,back,mid,g,voiced,velar
17,putu,putu,u,back,high,t,voiceless,coronal
18,pudu,pudu,u,back,high,d,voiced,coronal
19,pucu,puku,u,back,high,k,voiceless,velar
20,pugu,pugu,u,back,high,g,voiced,velar
